Case ID,Type,Latitude,Longitude,Municipality,Stage Status,Task Order Date,Subcontractor NTP
PR-SFM-02265,Reconstruction,18.45409,-66.29096,Dorado,03 - Design & Permitting,2026-02-17,
PR-SFM-02213,Reconstruction,18.44959,-66.30593,Dorado,16 - Inactive,2025-02-05,
PR-SFM-02183,Reconstruction,18.00316,-66.33898,Santa Isabel,11 - Structure Inspection,2024-12-13,2025-06-03
PR-SFM-02174,Reconstruction,18.00041,-66.34228,Santa Isabel,11 - Structure Inspection,2025-01-07,2025-05-15
PR-SFM-02171,Reconstruction,17.99913,-66.34283,Santa Isabel,12 - Substantial Inspection,2024-11-12,2025-05-26
PR-EQK-01165,Reconstruction,18.0406,-66.80257,Guayanilla,12 - Substantial Inspection,2024-12-12,2025-06-25
PR-SFM-01985,Reconstruction,18.41064,-66.35881,Vega Alta,11 - Structure Inspection,2024-12-02,2025-07-29
PR-SFM-01930,Reconstruction,18.00379,-66.10729,Guayama,11 - Structure Inspection,2024-12-12,2025-05-23
PR-EQK-01055,Reconstruction,17.99622,-66.97082,Lajas,11 - Structure Inspection,2024-12-06,2025-06-26
PR-EQK-00927,Repair,18.02569,-66.78968,Guayanilla,03 - Design & Permitting,2025-07-03,
PR-EQK-00878,Reconstruction,18.02904,-66.86223,Yauco,04 - Construction - Started,2025-06-12,
PR-EQK-00794,Reconstruction,18.03738,-67.1089,Lajas,11 - Structure Inspection,2024-12-02,2025-07-29
PR-EQK-00732,Reconstruction,18.01913,-66.84241,Yauco,12 - Substantial Inspection,2025-02-06,2025-07-02
PR-EQK-00697,Reconstruction,18.06338,-66.74634,Peñuelas,11 - Structure Inspection,2025-01-28,2025-06-09
PR-EQK-00594,Reconstruction,18.06269,-66.71748,Peñuelas,04 - Construction - Started,2025-02-14,2025-11-19
PR-EQK-00570,Reconstruction,17.97665,-66.8962,Guánica,03 - Design & Permitting,2026-02-09,
PR-EQK-00514,Relocation,18.02034,-66.76241,Guayanilla,03 - Design & Permitting,2025-01-15,
PR-EQK-00425,Reconstruction,17.98979,-66.81844,Guayanilla,16 - Inactive,2025-02-10,
PR-SFM-01868,Reconstruction,18.00354,-66.10611,Guayama,03 - Design & Permitting,2025-09-10,
PR-SFM-01867,Reconstruction,18.00453,-66.10711,Guayama,08 - Walls Inspection (1st Level),2025-02-07,2025-11-19
PR-SFM-01860,Reconstruction,18.0008,-66.10945,Guayama,03 - Design & Permitting,2025-01-08,
PR-SFM-01851,Reconstruction,17.96404,-66.16652,Guayama,08 - Walls Inspection (1st Level),2024-12-18,2025-05-07
PR-SFM-01842,Reconstruction,17.96097,-66.16542,Guayama,07 - Foundation Inspection,2024-12-06,2025-10-13
PR-SFM-01781,Relocation,18.39046,-66.26303,Dorado,16 - Inactive,2025-05-13,
PR-SFM-01334,Reconstruction,18.01344,-66.11842,Guayama,11 - Structure Inspection,2025-01-08,2025-06-18
PR-SFM-00736,Relocation,17.9568,-66.41047,Santa Isabel,16 - Inactive,2025-05-08,
PR-R3-25289 (BR),Reconstruction,17.96019,-66.93079,Guánica,08 - Walls Inspection (1st Level),2024-10-30,2025-09-22
PR-R3-21788 (BR),Relocation,18.38472,-66.74146,Arecibo,15 - Construction Complete,2024-10-23,
PR-R3-17316 (BR),Relocation,18.14329,-67.06827,San Germán,15 - Construction Complete,2024-10-23,
PR-R3-15841 (BR),Reconstruction,18.42837,-66.17425,Toa Baja,15 - Construction Complete,2025-01-02,2025-03-12
PR-R3-10718,Relocation,18.38988,-66.59767,Arecibo,03 - Design & Permitting,2025-06-11,
PR-R3-09658,Relocation,18.22042,-66.5908,Jayuya,15 - Construction Complete,2024-10-23,
PR-R3-08514,Relocation,18.45397,-67.09112,Aguadilla,15 - Construction Complete,2024-10-23,
PR-SFM-02793,Reconstruction,18.50277,-67.0591,Isabela,12 - Substantial Inspection,2024-12-11,2025-05-26
PR-SFM-02788,Reconstruction,18.50128,-67.0145,Isabela,11 - Structure Inspection,2024-12-03,2025-09-23
PR-SFM-00460,Reconstruction,18.48634,-66.97404,Isabela,16 - Inactive,2025-03-27,
PR-SFM-00092,Reconstruction,18.50457,-67.04551,Isabela,12 - Substantial Inspection,2024-12-12,2025-07-24
PR-R3-14136,Reconstruction,18.32626,-66.99133,San Sebastián,11 - Structure Inspection,2024-12-02,2025-07-30
PR-R3-13835,Reconstruction,18.50338,-67.02018,Isabela,03 - Design & Permitting,2025-04-16,
PR-R3-04719,Reconstruction,18.42748,-67.10705,Moca,06 - Retaining Wall Inspection (Walls),2024-12-26,2025-10-31
PR-R3-17131,Reconstruction,18.40662,-66.02575,San Juan,11 - Structure Inspection,2025-03-31,2025-07-14
PR-R3-11074,Relocation,18.16103,-65.77894,Humacao,15 - Construction Complete,2024-11-11,
PR-R3-03120,Relocation,18.44172,-66.0511,San Juan,15 - Construction Complete,2024-11-11,
PR-R3-01532,Relocation,18.39247,-65.95023,Carolina,15 - Construction Complete,2024-11-22,2025-06-17
PR-R3-01343,Relocation,18.14032,-65.83562,Humacao,15 - Construction Complete,2024-11-11,
PR-R3-00456,Relocation,18.31653,-65.90638,Carolina,15 - Construction Complete,2024-11-11,
PR-R3-23561,Relocation,18.3451,-66.08331,San Juan,00 - Reassigned,2024-11-27,
PR-R3-18639,Relocation,18.33579,-66.08546,San Juan,15 - Construction Complete,2024-12-09,
PR-R3-13951,Relocation,18.32433,-66.12709,Guaynabo,15 - Construction Complete,2024-12-04,
PR-R3-01076,Relocation,18.30422,-66.12845,Guaynabo,15 - Construction Complete,2024-12-19,
PR-R3-09610 (BR),Relocation,18.30604,-66.16865,Bayamón,15 - Construction Complete,2024-12-19,
PR-R3-02169,Relocation,18.41034,-66.35218,Vega Alta,15 - Construction Complete,2024-12-19,
PR-SFM-01990,Reconstruction,18.38319,-66.17253,Bayamón,07 - Foundation Inspection,2025-01-20,2025-09-02
PR-EQK-01124,Reconstruction,18.00602,-66.90244,Guánica,08 - Walls Inspection (1st Level),2025-01-14,2025-11-12
PR-EQK-00804,Reconstruction,18.03721,-67.07495,Lajas,11 - Structure Inspection,2025-02-04,2025-08-28
PR-R3-08433,Relocation,18.31187,-66.22236,Naranjito,15 - Construction Complete,2025-01-23,2025-07-25
PR-R3-13792,Relocation,18.22158,-66.31692,Barranquitas,15 - Construction Complete,2025-02-07,
PR-R3-12791,Relocation,18.36178,-66.1436,Bayamón,15 - Construction Complete,2025-02-07,
PR-R3-02896 (BR),Relocation,18.32872,-66.37374,Morovis,15 - Construction Complete,2025-02-07,
PR-EQK-01244,Reconstruction,18.00717,-66.89356,Guánica,11 - Structure Inspection,2025-03-13,2025-07-30
PR-EQK-01123,Reconstruction,18.00081,-66.87351,Guánica,04 - Construction - Started,2025-02-27,
PR-EQK-00946,Reconstruction,18.04828,-67.04152,Lajas,04 - Construction - Started,2025-03-03,2025-11-05
PR-EQK-00496,Reconstruction,18.00591,-66.89617,Guánica,11 - Structure Inspection,2025-02-28,2025-11-07
PR-SFM-03044,Reconstruction,18.42624,-66.67549,Arecibo,11 - Structure Inspection,2025-04-04,2025-10-02
PR-R3-03018,Reconstruction,18.45253,-66.61916,Arecibo,07 - Foundation Inspection,2025-05-21,2025-11-11
